PMSID,MOLD_CTRL_NO,CUSTOMER,MODEL,MOLD_NAME,PART_NO,MARK_NO,CAVI_NO,MP_LOC
,PTTM16-014,APC SCHNEIDER,NEC Smart-ups 4.5G,NMT750J FRONT BEZEL W/ NEC LABEL,876-0033A-001,SET 1,1,P3
,PTTM16-016,APC SCHNEIDER,NEC Smart-ups 4.5G,"BEZEL, FRONT, ROHS",876-1278,SET 1,2,P3
,PTTM16-018,APC SCHNEIDER,NEC Smart-ups 4.5G,FRONT BEZEL SMT1000/1500 MIST WHITE,876-0034A,SET 1,2,P3
,PTTM17-002,APC SCHNEIDER,NEXT GEN PDU,COVER USB PORT,876-0082,SET 1,4,P3
,PTTM17-036,APC SCHNEIDER,GUTOR PXP,EXTENSION FRAME Fan-876-43399,876-43399,SET 1,2,P3
,PTTM17-053,APC SCHNEIDER,DATUN,REAR PANEL,876-1609,SET 1,2,P3
,PTTM17-054,APC SCHNEIDER,DATUN,DECO PLATE,876-1610,SET 1,2,P3
,PTTM17-055,APC SCHNEIDER,DATUN,FRONT PANEL,876-1611,SET 1,2,P3
,PTTM17-056,APC SCHNEIDER,DATUN,BUTTON,876-1612,SET 1,4,P3
,PTTM17-057,APC SCHNEIDER,DATUN,LIGHT PIPE,876-1613,SET 1,4,P3
,PTTM17-060,APC SCHNEIDER,DATUN,BATTERY DOOR,876-1616,SET 1,2,P3
,PTTM17-061,APC SCHNEIDER,DATUN,APC BADGE PLATE,876-1617,SET 1,4,P3
,PTTM17-062,APC SCHNEIDER,MT. DATUN,BATTERY COVER,876-1618,SET 1,4,P3
,PTTM18-085,APC SCHNEIDER,AGILIS,HEATSINK –PM20,876-43443B,SET 1,2,P3
,PTK21-119,BROTHER,MB17,P RETAINING RING E4,LED354,L1,16,P1
,PTTM21-084,BROTHER,PT-M95,CUTTER LEVER PT-90,LW3902-0,,2,P3
,PTK17-012,EATON,CAPACITOR,PCB LID COVER,9A0501,#1,1,P3
,PTK17-013,EATON,CAPACITOR,TOP COVER,9A0500,#1,1,P3
,PTK17-014,EATON,CAPACITOR,BASE ENCLOSURE,9A0499,#1,1,P3
,PT14-029,EPSON,SEED,"CLUTCH,SE",1649208-01,L1,2,P1
,PT15-001,EPSON,BAHRAIN,FRAME CASE UPPER,165743600,L1,4,P1
,PT15-005,EPSON,SEED SD,"COVER CSiC, B",166426200,L1,1,P1
,PT15-006,EPSON,SEED SD,COVER REAR UPPER,1664261,L1,1,P1
,PT15-007,EPSON,DOCU CAMERA,CASE UPPER,165706100P,L1,1,P3
,PT15-010,EPSON,DOCU CAMERA,CASE ARM UPPER,174830700,L1,1,P3
,PT15-011,EPSON,DOCU CAMERA,CAMERA BEZEL,165711400,L1,2,P1
,PT15-018,EPSON,SEED SJ,COVER SCREW,1666479-00,L1,4,P1
,PT15-019,EPSON,SEED SJ,HOLDER LOCK COVER ASF,1666482-01,L1,1,P1
,PT15-019,EPSON,SEED SJ,HOLDER LOCK COVER EJ,1666481-01,L1,1,P1
,PT15-020,EPSON,SEED SJ,SHAFT HANDLE L,1666490-00,L1,1,P1
,PT15-020,EPSON,SEED SJ,SHAFT HANDLE R,1666491-00,L1,1,P1
,PT15-023,EPSON,RN10,LEVER LOCK SLIDER,1572346-01,L2,4,P1
,PT16-019,EPSON,S-15,"STOPPER,ADF",1741755,L1,4,P1
,PT16-020,EPSON,S-15,"LEVER,STOPPER,ADF",1574357,L1,4,P1
,PT16-021,EPSON,S-15,"FRAME,BANK",176715600,L1,4,P1
,PT16-022,EPSON,S-15,"ARM,REAR,ADF",1704454,L1,4,P1
,PT16-023,EPSON,S-15,"CAP,CONNECTOR,FAX",1504691,L1,8,P1
,PT16-024,EPSON,S-15,"HOLDER,PAD,ADF",1550748,L1,4,P1
,PT16-025,EPSON,S-15,"SPACER,CAM,CLEANER",1605942,L1,8,P1
,PT16-026,EPSON,S-15,"PRESSING PLATE,GUIDE RAIL",1691503,L1,8,P1
,PT16-027,EPSON,S-15,"CENTER SUPPORT,PF",1693934,L1,8,P1
,PT16-028,EPSON,S-15,"LEVER,ASF,RIGHT",174174600,L1,4,P1
,PT16-029,EPSON,S-15,"LEVER,ASF,LEFT",174174700,L1,4,P1
